A,Ca,Ce,D,I,V,class,project
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.OctalUnescaper,lang
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.UnicodeEscaper,lang
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.UnicodeUnescaper,lang
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.UnicodeUnpairedSurrogateRemover,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.DateParser,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.DatePrinter,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$PatternStrategy,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$Strategy,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$NumberRule,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDatePrinter$Rule,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FormatCache,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.StopWatch$State,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.DateFormatUtils,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.DateUtils,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.DateUtils$DateIterator,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.DateUtils$ModifyType,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.DurationFormatUtils,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.DurationFormatUtils$Token,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateFormat,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateFormat$1,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$1,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$2,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$3,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$4,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$5,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$6,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$CaseInsensitiveTextStrategy,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$CopyQuotedStrategy,lang
0.13,0.0,8.0,0.13,1.0,1.0,org.apache.commons.lang3.time.FastDateParser$ISO8601TimeZoneStrategy,lang
