A,Ca,Ce,D,I,V,class,project
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyPublish,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyPublish$ArtifactsPattern,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyPublish$PublishArtifact,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyReport,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyRepositoryReport,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyResolve,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyResources,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyResources$1,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyResources$IvyBaseResourceCollectionWrapper,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyRetrieve,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyVar,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.MapperAdapter,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.PackageMapping,ivy
0.12,29.0,16.0,0.52,0.36,1.0,org.apache.ivy.core.RelativeUrlResolver,ivy
0.12,29.0,16.0,0.52,0.36,1.0,org.apache.ivy.core.ExecutionRelativeUrlResolver,ivy
0.12,29.0,16.0,0.52,0.36,1.0,org.apache.ivy.core.IvyContext,ivy
0.12,29.0,16.0,0.52,0.36,1.0,org.apache.ivy.core.IvyPatternHelper,ivy
0.12,29.0,16.0,0.52,0.36,1.0,org.apache.ivy.core.IvyPatternHelper$OriginalArtifactNameValue,ivy
0.12,29.0,16.0,0.52,0.36,1.0,org.apache.ivy.core.IvyThread,ivy
0.12,29.0,16.0,0.52,0.36,1.0,org.apache.ivy.core.LogOptions,ivy
0.12,29.0,16.0,0.52,0.36,1.0,org.apache.ivy.core.NormalRelativeUrlResolver,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.DownloadListener,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.ModuleDescriptorProvider,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.ModuleDescriptorWriter,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.RepositoryCacheManager,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.ResolutionCacheManager,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.ArtifactOrigin,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.CacheDownloadOptions,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.CacheMetadataOptions,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.CacheResourceOptions,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.CacheUtil,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.DefaultRepositoryCacheManager,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.DefaultRepositoryCacheManager$1,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.DefaultRepositoryCacheManager$BackupResourceDownloader,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.DefaultRepositoryCacheManager$MyModuleDescriptorProvider,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.DefaultResolutionCacheManager,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.DefaultResolutionCacheManager$1,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.DefaultResolutionCacheManager$CacheParserSettings,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.DefaultResolutionCacheManager$MapURLResolver,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.ModuleDescriptorMemoryCache,ivy
0.23,17.0,28.0,0.15,0.62,1.0,org.apache.ivy.core.cache.ModuleDescriptorMemoryCache$CacheEntry,ivy
