A,Ca,Ce,D,I,V,class,project
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.UserTypes,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.AbstractMarker$1,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.AbstractMarker$INRaw,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.AbstractMarker$Raw,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.AssignmentTestable$TestResult,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Attributes,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Attributes$1,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Attributes$Raw,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.BatchQueryOptions$1,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.BatchQueryOptions$WithPerStatementVariables,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.BatchQueryOptions$WithPerStatementVariables$1,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.BatchQueryOptions$WithoutPerStatementVariables,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CFName,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQL3Type$1,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQL3Type$Collection,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQL3Type$Custom,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQL3Type$Native,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQL3Type$Raw$RawCollection,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQL3Type$Raw$RawTuple,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQL3Type$Raw$RawType,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQL3Type$Raw$RawUT,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQL3Type$Tuple,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQL3Type$UserDefined,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQLFragmentParser,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$1,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$CollectionBound,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$CollectionInBound,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$ElementAccessBound,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$ElementAccessInBound,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$Raw,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$SimpleBound,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$SimpleInBound,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$UDTBound,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$UDTFieldAccessBound,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$UDTFieldAccessInBound,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$UDTInBound,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnConditions,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnConditions$1,cassandra
