A,Ca,Ce,D,I,V,class,project
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatterBuilder$SimpleAffix,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.NameProvider,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.Provider,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.CachedDateTimeZone,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.CachedDateTimeZone$Info,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.DateTimeZoneBuilder,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.DateTimeZoneBuilder$DSTZone,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.DateTimeZoneBuilder$OfYear,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.DateTimeZoneBuilder$PrecalculatedZone,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.DateTimeZoneBuilder$Recurrence,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.DateTimeZoneBuilder$Rule,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.DateTimeZoneBuilder$RuleSet,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.DateTimeZoneBuilder$Transition,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.DefaultNameProvider,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.FixedDateTimeZone,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.UTCProvider,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.ZoneInfoCompiler,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.ZoneInfoCompiler$DateTimeOfYear,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.ZoneInfoCompiler$Rule,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.ZoneInfoCompiler$RuleSet,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.ZoneInfoCompiler$Zone,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.ZoneInfoLogger,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.ZoneInfoLogger$1,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.ZoneInfoProvider,time
0.08,1.0,10.0,0.01,0.91,1.0,org.joda.time.tz.ZoneInfoProvider$1,time
