project_x,class_x,branch_coverage,file,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,project_y,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,A,Ca,Ce,D,I,V,project,abstract,assert,boolean,break,byte,case,catch,char,class_y,class-name,const,continue,default,do,double,else,extends,false,final,finally,float,for,goto,if,implements,import,instanceof,int,interface,long,native,new,null,package,private,protected,public,return,short,static,strictfp,super,switch,synchronized,this,throw,throws,transient,true,try,void,volatile,while
cassandra,org.apache.cassandra.serializers.DoubleSerializer,0.4,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/DoubleSerializer.java,class,3,11,1,0,5,10,5,5,0,1,1,1,1,47,cassandra,36,76,168.0,392.9143001096157,4.3125,1694.4429192227178,94.13571773459543,0.1309714333698719,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,1,0,0,0,1,org.apache.cassandra.serializers.DoubleSerializer,0,0,0,0,1,0,0,0,1,0,0,3,0,2,1,2,0,0,0,0,0,2,1,1,0,0,7,5,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.serializers.DurationSerializer,0.09090909090909093,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/DurationSerializer.java,class,7,17,1,0,11,10,5,5,0,1,1,1,2,96,cassandra,35,71,168.46500593882897,364.17909420309263,2.090909090909091,761.4653787882845,42.30363215490471,0.12139303140103087,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,0,0,3,0,1,org.apache.cassandra.serializers.DurationSerializer,0,0,0,0,0,0,0,0,2,0,0,3,0,4,1,7,0,5,0,5,0,9,1,1,0,0,7,6,0,1,0,0,0,0,6,5,1,0,0,3,1,0,0
cassandra,org.apache.cassandra.serializers.EmptySerializer,0.5,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/EmptySerializer.java,class,3,7,1,0,1,10,5,5,0,1,1,1,0,45,cassandra,31,49,142.8814488586996,242.75561920895686,1.6206896551724137,393.43152078693015,21.857306710385007,0.08091853973631898,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,0,0,0,0,1,org.apache.cassandra.serializers.EmptySerializer,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,0,0,0,0,0,2,0,1,0,0,7,4,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.serializers.FloatSerializer,0.4,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/FloatSerializer.java,class,3,11,1,0,5,10,5,5,0,1,1,1,2,47,cassandra,37,77,174.46500593882897,401.1279091534292,4.242424242424242,1701.7547661054568,94.54193145030315,0.13370930305114306,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,1,0,0,0,1,org.apache.cassandra.serializers.FloatSerializer,0,0,0,0,0,0,0,0,1,0,1,3,0,2,1,2,0,0,0,0,0,2,1,1,0,0,7,5,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.serializers.InetAddressSerializer,0.5,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/InetAddressSerializer.java,class,3,13,1,0,8,10,5,5,0,1,1,1,4,64,cassandra,42,92,214.8771237954945,496.09320289564596,2.175,1079.0027162980298,59.94459534989053,0.16536440096521532,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,1,0,2,0,1,org.apache.cassandra.serializers.InetAddressSerializer,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,4,0,0,0,0,0,3,2,1,0,0,7,5,0,1,0,0,0,0,3,2,1,0,0,2,1,0,0
cassandra,org.apache.cassandra.serializers.Int32Serializer,0.4,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/Int32Serializer.java,class,3,10,1,0,5,10,5,5,0,1,1,1,2,45,cassandra,37,77,174.46500593882897,401.1279091534292,4.242424242424242,1701.7547661054568,94.54193145030315,0.13370930305114306,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,1,0,0,0,1,org.apache.cassandra.serializers.Int32Serializer,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,0,1,0,0,0,2,3,1,0,0,7,4,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.serializers.IntegerSerializer,0.5,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/IntegerSerializer.java,class,2,8,1,0,5,10,5,5,0,1,1,1,1,45,cassandra,34,65,162.0,330.68508468127214,1.9375,640.7023515699648,35.59457508722026,0.11022836156042402,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,0,0,0,0,1,org.apache.cassandra.serializers.IntegerSerializer,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,3,0,0,0,0,0,2,2,1,0,0,7,4,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.serializers.LongSerializer,0.4,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/LongSerializer.java,class,3,10,1,0,5,10,5,5,0,1,1,1,2,45,cassandra,37,77,174.46500593882897,401.1279091534292,4.242424242424242,1701.7547661054568,94.54193145030315,0.13370930305114306,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,1,0,0,0,1,org.apache.cassandra.serializers.LongSerializer,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,2,0,0,0,1,0,2,3,1,0,0,7,4,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.serializers.ShortSerializer,0.5,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/ShortSerializer.java,class,3,10,1,0,6,10,5,5,0,1,1,1,2,45,cassandra,37,73,177.72862410467502,380.2900956909134,2.0,760.5801913818268,42.25445507676815,0.12676336523030446,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,0,0,0,0,1,org.apache.cassandra.serializers.ShortSerializer,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,2,0,0,0,0,0,2,3,1,0,0,7,4,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.serializers.SimpleDateSerializer,0.35000000000000003,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/SimpleDateSerializer.java,class,6,26,1,0,19,26,8,8,3,7,1,7,11,108,cassandra,103,256,638.2214477622555,1711.7441349589042,12.445652173913045,21303.77211443419,1183.5428952463435,0.5705813783196346,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,2,0,2,0,1,org.apache.cassandra.serializers.SimpleDateSerializer,0,0,0,0,0,0,0,0,7,0,0,4,0,7,1,9,0,4,0,8,0,9,2,1,6,0,10,9,0,10,0,0,0,0,3,6,2,0,0,2,1,0,0
cassandra,org.apache.cassandra.serializers.TimeSerializer,0.4379310344827586,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/TimeSerializer.java,class,3,43,1,0,24,28,8,6,2,2,2,2,13,172,cassandra,126,483,809.9495684877126,3370.02620305046,28.29090909090909,95341.10494448213,5296.728052471228,1.1233420676834869,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,1,0,2,0,1,org.apache.cassandra.serializers.TimeSerializer,0,0,1,0,0,3,0,0,2,0,0,4,0,15,1,4,0,10,0,9,0,15,2,1,2,0,9,8,0,4,0,0,0,0,3,13,3,0,0,2,2,0,0
cassandra,org.apache.cassandra.serializers.TimeUUIDSerializer,0.25,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/TimeUUIDSerializer.java,class,3,5,2,0,5,0,1,1,0,1,1,1,0,37,cassandra,27,40,112.0419249893113,190.1955000865388,3.0434782608695654,578.8558698285963,32.158659434922015,0.06339850002884627,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,1,0,0,0,2,org.apache.cassandra.serializers.TimeUUIDSerializer,0,0,0,0,0,0,1,0,1,0,0,3,0,2,0,1,0,0,0,0,0,2,0,1,0,0,3,0,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.serializers.TimestampSerializer,0.55,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/TimestampSerializer.java,class,3,25,1,0,19,50,12,9,2,9,1,9,8,180,cassandra,141,296,970.8798806061893,2113.307200310043,6.1111111111111125,12914.655113005818,717.4808396114344,0.7044357334366809,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,1,0,2,0,1,org.apache.cassandra.serializers.TimestampSerializer,0,0,1,0,0,0,0,0,9,0,0,4,0,4,1,8,0,0,0,3,0,12,5,1,8,3,11,13,0,11,0,0,0,0,3,3,2,0,0,2,1,0,0
cassandra,org.apache.cassandra.serializers.UTF8Serializer,1.0,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/UTF8Serializer.java,class,4,48,2,0,4,3,3,1,1,1,1,1,1,151,cassandra,57,207,296.6075250475963,1207.4082329321013,13.0,15696.307028117319,872.017057117629,0.4024694109773672,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,1,0,5,8,0,0,2,org.apache.cassandra.serializers.UTF8Serializer,0,0,0,0,0,8,1,0,1,0,0,2,0,19,0,2,0,1,0,0,0,2,1,1,1,0,3,13,0,3,0,0,1,0,4,1,1,0,0,0,1,0,1
cassandra,org.apache.cassandra.serializers.UUIDSerializer,0.5,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/UUIDSerializer.java,class,3,10,1,1,5,10,5,5,0,1,1,1,1,48,cassandra,39,84,187.5249055930738,443.9737863844289,4.4,1953.4846600914875,108.52692556063818,0.14799126212814295,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,0,0,0,0,1,org.apache.cassandra.serializers.UUIDSerializer,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,4,0,0,0,0,0,2,3,1,0,0,7,4,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.service.QueryState,0.1,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/service/QueryState.java,class,2,14,1,0,10,18,9,9,1,2,0,0,2,92,cassandra,51,111,265.6934904530594,629.6392129588361,4.391304347826087,2764.937413427933,153.60763407932959,0.20987973765294526,0.14,34.0,80.0,0.16,0.7,1.0,cassandra,0,0,1,0,0,0,0,0,1,org.apache.cassandra.service.QueryState,0,0,0,0,1,1,0,0,1,0,0,4,0,3,0,7,0,0,0,1,0,1,1,1,2,0,10,6,0,1,0,0,0,0,3,0,0,0,0,0,3,1,0
cassandra,org.apache.cassandra.service.pager.PagingState,0.234375,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/service/pager/PagingState.java,class,14,46,1,0,38,7,14,12,3,6,4,0,11,247,cassandra,76,283,448.2416859592692,1768.163486304535,7.436619718309858,13149.159447447808,730.5088581915448,0.5893878287681783,0.16,5.0,21.0,0.03,0.81,1.0,cassandra,1,3,2,0,0,0,2,0,4,org.apache.cassandra.service.pager.PagingState,0,0,0,0,0,5,0,0,10,0,0,11,0,11,0,18,2,9,0,0,0,9,11,1,4,0,18,17,0,4,0,0,0,0,9,2,0,0,0,2,0,0,1
cassandra,org.apache.cassandra.streaming.ProgressInfo,0.6666666666666666,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/streaming/ProgressInfo.java,class,2,21,1,0,9,0,7,6,1,7,7,0,0,99,cassandra,61,160,327.57978409184966,948.9179740100619,10.867924528301888,10312.768925090484,572.9316069494713,0.3163059913366873,0.13,11.0,44.0,0.07,0.8,1.0,cassandra,0,1,2,0,1,0,0,0,1,org.apache.cassandra.streaming.ProgressInfo,0,0,0,0,0,0,0,0,7,0,0,2,0,7,1,3,0,3,0,4,0,1,1,1,1,0,15,11,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0
cassandra,org.apache.cassandra.streaming.SessionInfo,0.375,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/streaming/SessionInfo.java,class,4,22,1,0,11,101,17,13,0,8,6,0,0,171,cassandra,73,187,433.80469868831113,1157.4971925105633,2.557142857142857,2959.885677991297,164.43809322173877,0.3858323975035211,0.13,11.0,44.0,0.07,0.8,1.0,cassandra,0,1,2,0,0,0,0,0,1,org.apache.cassandra.streaming.SessionInfo,0,0,0,0,0,0,0,0,9,0,0,5,0,0,1,8,0,2,0,15,0,4,0,1,6,0,21,16,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
cassandra,org.apache.cassandra.streaming.StreamSummary,0.6666666666666666,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/streaming/StreamSummary.java,class,6,11,1,0,18,0,7,7,0,4,4,1,2,94,cassandra,69,224,392.0784101848217,1368.3094783183099,9.714285714285717,13292.1492179493,738.4527343305168,0.4561031594394367,0.13,11.0,44.0,0.07,0.8,1.0,cassandra,0,0,1,0,0,0,0,0,2,org.apache.cassandra.streaming.StreamSummary,0,0,0,0,0,0,0,0,5,0,0,5,0,3,2,10,0,7,0,5,0,3,1,1,0,0,13,7,0,2,0,0,0,0,3,0,2,0,0,0,1,0,0
