TARGET_CLASS,BranchCoverage
com.google.common.io.FileBackedOutputStream,0.8081081081081081
com.google.common.io.Files,0.7063063063063062
com.google.common.io.Flushables,1.0
com.google.common.io.LineBuffer,0.0
com.google.common.io.LineReader,0.95
com.google.common.io.LittleEndianDataInputStream,1.0
com.google.common.io.LittleEndianDataOutputStream,1.0
com.google.common.io.MultiInputStream,0.975
com.google.common.io.MultiReader,1.0
com.google.common.io.PatternFilenameFilter,1.0
com.google.common.io.ReaderInputStream,0.8372093023255813
com.google.common.io.Resources,0.9375
com.google.common.math.BigIntegerMath,0.8770370370370371
com.google.common.math.DoubleMath,0.9518248175182482
com.google.common.math.DoubleUtils,0.9583333333333334
com.google.common.math.IntMath,0.8758893280632412
com.google.common.math.LinearTransformation,0.9375
com.google.common.math.LongMath,0.8461942257217847
com.google.common.math.MathPreconditions,1.0
com.google.common.math.PairedStats,0.951020408163265
com.google.common.math.PairedStatsAccumulator,0.9767441860465116
com.google.common.math.Quantiles,0.9908256880733946
com.google.common.math.Stats,0.8939024390243903
com.google.common.math.StatsAccumulator,1.0
com.google.common.net.HostAndPort,0.9220338983050848
com.google.common.net.HostSpecifier,0.9285714285714286
com.google.common.net.InetAddresses,0.48689956331877726
com.google.common.net.InternetDomainName,0.8171875
com.google.common.net.MediaType,0.7298076923076923
com.google.common.net.PercentEscaper,1.0
com.google.common.net.UrlEscapers,1.0
com.google.common.primitives.Booleans,0.6009615384615383
com.google.common.primitives.Bytes,0.6121621621621622
com.google.common.primitives.Chars,0.6884955752212389
com.google.common.primitives.Doubles,0.6233644859813083
com.google.common.primitives.Floats,0.6235849056603774
com.google.common.primitives.ImmutableDoubleArray,0.774766355140187
com.google.common.primitives.ImmutableIntArray,0.7666666666666666
com.google.common.primitives.ImmutableLongArray,0.7685714285714285
com.google.common.primitives.Ints,0.6565573770491803
com.google.common.primitives.Longs,0.6718120805369129
com.google.common.primitives.ParseRequest,1.0
com.google.common.primitives.Primitives,0.8888888888888891
com.google.common.primitives.Shorts,0.6491525423728814
com.google.common.primitives.SignedBytes,0.8275862068965518
com.google.common.primitives.UnsignedBytes,0.8689655172413792
com.google.common.primitives.UnsignedInteger,1.0
com.google.common.primitives.UnsignedInts,1.0
com.google.common.primitives.UnsignedLong,1.0
com.google.common.primitives.UnsignedLongs,0.9987654320987656
com.google.common.reflect.AbstractInvocationHandler,0.0
com.google.common.reflect.ClassPath,0.8619565217391305
com.google.common.reflect.Element,0.027777777777777783
com.google.common.reflect.ImmutableTypeToInstanceMap,1.0
com.google.common.reflect.Invokable,0.07017543859649122
com.google.common.reflect.MutableTypeToInstanceMap,0.9045454545454547
com.google.common.reflect.Parameter,0.7272727272727274
com.google.common.reflect.Reflection,1.0
com.google.common.reflect.TypeCapture,1.0
com.google.common.reflect.TypeParameter,0.0
com.google.common.reflect.TypeResolver,0.30166666666666664
com.google.common.reflect.TypeToken,0.46969696969696983
com.google.common.reflect.TypeVisitor,0.0
com.google.common.reflect.Types,0.554225352112676
com.google.common.util.concurrent.AbstractCatchingFuture,0.0
com.google.common.util.concurrent.AbstractCheckedFuture,0.0
com.google.common.util.concurrent.AbstractExecutionThreadService,0.0
com.google.common.util.concurrent.AbstractFuture,0.0
com.google.common.util.concurrent.AbstractIdleService,0.0
com.google.common.util.concurrent.AbstractListeningExecutorService,0.0
com.google.common.util.concurrent.AbstractScheduledService,0.12280701754385966
com.google.common.util.concurrent.AbstractService,0.0
com.google.common.util.concurrent.AbstractTransformFuture,0.0
com.google.common.util.concurrent.AggregateFuture,0.0
com.google.common.util.concurrent.AggregateFutureState,0.0
com.google.common.util.concurrent.AtomicDouble,0.7894736842105264
com.google.common.util.concurrent.AtomicDoubleArray,0.7272727272727274
com.google.common.util.concurrent.AtomicLongMap,0.8390804597701147
com.google.common.util.concurrent.Atomics,1.0
com.google.common.util.concurrent.Callables,0.5052631578947369
com.google.common.util.concurrent.CollectionFuture,0.0
