project,class,branch_coverage
cassandra,org.apache.cassandra.utils.RMIServerSocketFactoryImpl,0.75
cassandra,org.apache.cassandra.utils.SlidingTimeRate,0.1
cassandra,org.apache.cassandra.utils.StreamingHistogram,0.8125
cassandra,org.apache.cassandra.utils.SyncUtil,0.07142857142857141
cassandra,org.apache.cassandra.utils.btree.BTree,0.13028169014084506
cassandra,org.apache.cassandra.utils.btree.BTreeRemoval,0.008064516129032256
cassandra,org.apache.cassandra.utils.concurrent.Accumulator,0.605
cassandra,org.apache.cassandra.utils.memory.ContextAllocator,0.125
cassandra,org.apache.cassandra.utils.memory.SlabPool,1.0
cassandra,org.apache.cassandra.utils.obs.OffHeapBitSet,0.14285714285714282
cassandra,org.apache.cassandra.utils.obs.OpenBitSet,0.7231707317073172
cassandra,org.apache.cassandra.utils.progress.ProgressEvent,1.0
cassandra,org.apache.cassandra.utils.progress.jmx.LegacyJMXProgressSupport,0.07142857142857141
cassandra,org.apache.cassandra.utils.vint.VIntCoding,0.375
dagger,dagger.internal.DaggerCollections,0.5
dagger,dagger.internal.DelegateFactory,0.8333333333333333
dagger,dagger.internal.Preconditions,0.7000000000000001
guava,com.google.common.primitives.ImmutableDoubleArray,0.8125
guava,com.google.common.primitives.ImmutableIntArray,0.8478260869565217
guava,com.google.common.primitives.ImmutableLongArray,0.8478260869565217
lang,org.apache.commons.lang3.ArchUtils,0.75
lang,org.apache.commons.lang3.builder.ReflectionDiffBuilder,1.0
lang,org.apache.commons.lang3.concurrent.Memoizer,0.5
lang,org.apache.commons.lang3.time.FastTimeZone,0.5
math,org.apache.commons.math3.analysis.FunctionUtils,1.0
math,org.apache.commons.math3.analysis.differentiation.DSCompiler,0.3581081081081081
math,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,0.014285714285714287
math,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,0.4285714285714285
math,org.apache.commons.math3.analysis.differentiation.GradientFunction,0.25
math,org.apache.commons.math3.analysis.differentiation.JacobianFunction,0.16666666666666666
math,org.apache.commons.math3.analysis.differentiation.SparseGradient,0.7875
math,org.apache.commons.math3.analysis.function.Gaussian,0.14285714285714282
math,org.apache.commons.math3.analysis.function.Logistic,1.0
math,org.apache.commons.math3.analysis.function.Logit,0.25
math,org.apache.commons.math3.analysis.function.Sinc,0.2307692307692308
math,org.apache.commons.math3.analysis.function.StepFunction,0.857142857142857
math,org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator,0.25
math,org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator,0.15384615384615385
math,org.apache.commons.math3.analysis.integration.MidPointIntegrator,0.33333333333333337
math,org.apache.commons.math3.analysis.integration.RombergIntegrator,0.33333333333333337
